metric	value
manifest	/srv/projects/showtrials-discovery/data/perpetrator2004/manifests/perpetrator2004_full_ingestion_manifest.tsv
rows	111
problems_total	0
errors	0
warnings	0
infos	1
header_status	ok
diagnostics_tsv	/srv/projects/showtrials-discovery/data/perpetrator2004/diagnostics/perpetrator2004_manifest_diagnostics_v2_20260618-005336.tsv
summary_tsv	/srv/projects/showtrials-discovery/data/perpetrator2004/diagnostics/perpetrator2004_manifest_summary_v2_20260618-005336.tsv
normalized_tsv	/srv/projects/showtrials-discovery/data/perpetrator2004/manifests/perpetrator2004_full_ingestion_manifest.normalized_20260618-005336.tsv
domain.perpetrator2004.narod.ru	109
domain.www.showtrials.ru	1
domain.www.ucoz.ru	1
extension..doc	93
extension..gif	1
extension..htm	13
extension..rar	2
extension.__no_ext__	2
is_external.no	109
is_external.yes	2
is_html.no	98
is_html.yes	13
source_class.external	2
source_class.internal	109
